number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
2,2.0,1,1,1,1.0,1.0,9.0,8.0,1.0,5.0,1,57.0,0,1
2,1.0,1,4,6,1.0,2.0,4.0,13.0,1.0,6.0,2,19.0,1,0
2,1.0,1,4,6,1.0,1.0,5.0,3.0,1.0,14.0,1,25.0,0,1
2,1.0,1,1,9,1.0,1.0,7.0,10.0,1.0,18.0,1,39.0,0,1
2,1.0,1,1,1,1.0,1.0,9.0,4.0,1.0,18.0,1,60.0,0,1
4,1.0,1,1,6,1.0,0.0,8.0,3.0,1.0,18.0,1,48.0,0,1
2,1.0,1,4,6,9.0,0.0,7.0,10.0,1.0,5.0,2,43.0,0,1
2,3.0,1,1,6,9.0,1.0,8.0,8.0,1.0,99.0,1,55.0,0,1
2,2.0,1,1,6,9.0,9.0,8.0,12.0,1.0,99.0,1,50.0,0,1
2,1.0,1,1,6,1.0,2.0,7.0,0.0,1.0,3.0,1,42.0,0,1
2,1.0,1,4,3,1.0,1.0,5.0,14.0,1.0,5.0,1,23.0,0,1
2,1.0,1,1,9,1.0,9.0,6.0,10.0,1.0,99.0,1,34.0,0,1
2,3.0,1,1,6,9.0,9.0,8.0,7.0,1.0,99.0,1,54.0,0,1
2,1.0,1,1,6,9.0,1.0,5.0,15.0,1.0,99.0,1,21.0,0,1
2,1.0,1,1,6,9.0,9.0,7.0,11.0,1.0,99.0,1,42.0,0,1
2,1.0,1,4,6,1.0,1.0,6.0,0.0,1.0,7.0,2,32.0,0,1
2,2.0,1,4,3,1.0,1.0,7.0,12.0,1.0,7.0,2,36.0,1,0
2,1.0,1,1,1,9.0,2.0,7.0,1.0,1.0,3.0,1,43.0,0,1
2,1.0,1,4,6,1.0,1.0,7.0,3.0,1.0,18.0,2,39.0,0,1
2,1.0,1,1,6,1.0,1.0,7.0,6.0,1.0,4.0,1,37.0,0,1
1,2.0,2,1,3,1.0,1.0,5.0,3.0,1.0,18.0,1,23.0,0,1
2,1.0,1,1,6,9.0,9.0,9.0,6.0,1.0,99.0,2,60.0,0,1
2,2.0,1,1,6,1.0,2.0,6.0,7.0,1.0,18.0,2,28.0,0,1
2,1.0,1,1,6,1.0,1.0,6.0,3.0,1.0,18.0,1,31.0,0,1
7,1.0,1,4,6,1.0,1.0,5.0,13.0,1.0,18.0,1,25.0,0,1
2,2.0,1,1,6,1.0,2.0,10.0,6.0,1.0,10.0,1,66.0,0,1
2,1.0,1,4,6,1.0,1.0,6.0,15.0,1.0,18.0,1,26.0,0,1
2,2.0,1,4,1,1.0,1.0,6.0,15.0,1.0,18.0,1,30.0,0,1
1,1.0,1,1,6,1.0,4.0,8.0,8.0,1.0,18.0,1,55.0,1,0
2,1.0,1,1,6,1.0,3.0,8.0,12.0,1.0,9.0,1,51.0,1,0
2,1.0,1,1,6,1.0,9.0,5.0,2.0,1.0,99.0,1,24.0,0,1
7,1.0,1,1,6,1.0,0.0,10.0,6.0,1.0,18.0,1,74.0,0,1
2,1.0,1,4,6,1.0,4.0,6.0,13.0,1.0,17.0,2,35.0,0,1
2,1.0,1,4,6,1.0,1.0,9.0,16.0,3.0,18.0,1,62.0,0,1
4,1.0,1,1,3,1.0,1.0,7.0,2.0,1.0,18.0,1,40.0,0,1
2,2.0,1,1,6,1.0,1.0,10.0,4.0,1.0,18.0,1,67.0,0,1
3,2.0,1,1,6,1.0,2.0,8.0,12.0,1.0,5.0,2,46.0,0,1
